customer_id,name,transaction_date,amount,category
103,Charlie Davis,2022-01-01,759.03739,A
436,Alice Brown,2022-01-01,1096.181632,C
861,Alice Brown,2022-01-02,1158.623597,B
271,Bob Wilson,2022-01-02,859.027857,
107,John Smith,2022-01-02,712.566977,C
72,Alice Brown,2022-01-03,749.303,B
701,Alice Brown,2022-01-03,1280.716021,C
21,Bob Wilson,2022-01-03,877.266866,C
615,Bob Wilson,2022-01-07,1161.533889,C
122,John Smith,2022-01-07,1074.798141,B
467,Bob Wilson,2022-01-07,929.163784,B
215,Charlie Davis,2022-01-07,823.412357,C
331,Bob Wilson,2022-01-08,772.831851,C
459,Charlie Davis,2022-01-08,1069.007781,C
88,John Smith,2022-01-09,1164.780268,B
373,John Smith,2022-01-10,1086.342552,C
100,John Smith,2022-01-10,1018.18128,B
872,John Smith,2022-01-10,725.170734,B
664,John Smith,2022-01-11,1281.093267,A
131,Charlie Davis,2022-01-11,1179.228515,C
662,Charlie Davis,2022-01-12,875.693222,A
309,John Smith,2022-01-12,1287.982198,B
770,Bob Wilson,2022-01-12,1061.128954,C
344,Alice Brown,2022-01-12,1049.453595,A
492,John Smith,2022-01-12,1148.843908,A
414,Bob Wilson,2022-01-12,1187.061873,A
806,Alice Brown,2022-01-13,1093.887164,C
386,John Smith,2022-01-14,776.857448,C
192,John Smith,2022-01-14,902.960504,B
956,Charlie Davis,2022-01-17,1256.850184,C
277,Alice Brown,2022-01-17,834.769367,C
161,Alice Brown,2022-01-17,923.300214,B
460,Bob Wilson,2022-01-17,959.24613,C
314,Charlie Davis,2022-01-19,963.642994,C
22,Charlie Davis,2022-01-20,1067.763749,C
253,Charlie Davis,2022-01-20,1265.845503,A
748,Charlie Davis,2022-01-21,844.415627,C
857,Alice Brown,2022-01-21,772.900826,C
561,Alice Brown,2022-01-21,818.482294,B
475,John Smith,2022-01-21,1232.15494,B
59,John Smith,2022-01-22,1087.486488,A
511,Charlie Davis,2022-01-22,871.544074,A
682,Charlie Davis,2022-01-22,1189.568163,C
476,Charlie Davis,2022-01-24,1216.821998,A
700,John Smith,2022-01-25,1207.908603,B
976,Bob Wilson,2022-01-26,1251.35592,C
783,Bob Wilson,2022-01-27,851.344612,A
190,John Smith,2022-01-28,1153.025157,
958,John Smith,2022-01-29,976.323698,A
687,John Smith,2022-01-29,1205.199132,B
958,John Smith,2022-01-31,1137.094406,B
563,John Smith,2022-02-02,1165.868468,A
876,John Smith,2022-02-04,1093.697103,A
567,Charlie Davis,2022-02-04,806.457262,C
244,Charlie Davis,2022-02-05,1027.016151,
832,Charlie Davis,2022-02-05,1290.801844,A
505,Charlie Davis,2022-02-06,1262.43284,C
131,John Smith,2022-02-06,725.904241,C
485,Bob Wilson,2022-02-07,798.888889,C
819,Alice Brown,2022-02-08,779.037264,B
647,John Smith,2022-02-08,1135.587946,B
21,Alice Brown,2022-02-08,1190.671198,B
